Row	Meal	Name	Pos
651	D	Mint chocolate - Eliz. Shaw mint crisp	107319
652	D	Thin crust pizza	107481
653	B	Hard bread roll	107632
654	D	Latta	107795
655	S	Old-fashioned donut	107915
656	S	Mixed vegetables	108187
657	S	Onion	108304
658	S	Corn	108596
659	D	Pinto beans	108848
660	D	Chips - McCain chunky cut	108974
661	D	Mayonnaise dressing	109112
662	D	Crab	109237
663	S	Turkey breast	109404
664	S	Chocolate sandwich cookies	109590
665	D	2% milk	109779
666	L	Fast foods, ham and cheese sandwich	109931
667	S	Soup, chicken broth, canned, condensed	110075
668	L	Roasted chicken breast	110214
669	L	Honey	110346
670	L	Applesauce	110429
671	L	Corn tortilla	110555
672	L	Chicken nugget	110790
673	L	Salted butter	110911
674	B	Noodles	111098
675	B	Decaf tea	111218
676	B	Dry milk	111326
677	B	Hamburger	111461
678	L	Root beer	111571
679	S	Heavy whipping cream	111690
680	S	Chicken leg	111864
681	S	Chicken thigh	112017
682	S	Chicken noodle soup	112168
683	S	Caramel syrup	112315
684	S	KASHI Pizza, Basil Pesto	112448
685	S	Rice chex	112576
686	S	Candies, sweet chocolate	112692
687	S	Salad	112843
688	S	Oatmeal	112958
689	L	Light low fat fruit yogurt	113084
690	S	Sugar	113250
691	L	White beans	113414
692	S	Vanilla almond	113537
693	S	Butter stick	113653
694	B	Chorizo	113826
695	S	Bread, oat bran	113943
696	S	Cream cheese	114055
697	L	Corn, sweet, yellow	114256
698	L	Chicken roll	114392
699	L	KASHI Pizza, Basil Pesto	114533
700	S	Pepsi 	114661
701	S	Muffins, oat bran	114781
702	D	Mozzarella cheese	114891
703	L	Gravy	115104
704	L	Pancake	115237
705	L	Chips - McCain chunky cut	115427
706	B	Coconut oil	115565
707	D	Breaded chicken	115668
708	L	Roasted ham	115873
709	D	Fruit flavored water	115987
710	D	Grape juice	116112
711	D	Swiss cheese	116261
712	D	Instant coffee	116474
713	L	Special K cereal	116583
714	D	Mustard	116687
715	D	Pasta with meatballs in tomato sauce	116815
716	D	Muffins, wheat bran, dry mix	116939
717	D	Yellow tortilla chips	117035
718	D	Pancake	117172
719	D	Dinner rolls	117362
720	D	Chorizo	117485
721	D	Coconut oil	117602
722	D	Walnut	117705
723	D	Roast dinner	117973
724	D	Tortilla	118082
725	D	Chicken pot pie	118313
726	D	Pork cuts	118439
727	D	Omelet	118573
728	L	Cornbread	118683
729	D	Chocolate sandwich cookies	118820
730	B	Cauliflower	119009
731	B	Applesauce	119193
732	B	Ribena	119319
733	B	Sweet pepper	119346
734	B	Butter without salt	119635
735	B	Cashew nuts	119821
736	L	Activia	119992
737	L	Salted roasted peanuts	120096
738	L	Rye bread	120226
739	B	Hashed browns	120493
740	B	Chips	120621
741	L	Corn oil	120767
742	B	Lima bean dry	120854
743	B	Gravy	120989
744	B	Iceberg lettuce	121122
745	L	Crab	121426
746	B	Beer	121593
747	B	Potato	121690
748	B	Macaroni cheese	121909
749	B	Chocolate cake	122085
750	B	Nectarines	122227
