Row	Meal	Name	Pos
564		Chocolat mi-sucré	95643
565		Lumière de glace vanille	95782
566		Riche en glace vanille	95916
567		Glace à la vanille	96044
568		Gélifiés	96173
569		Bonbons durs	96482
570		Guimauves	96599
571		Chocolat au lait	96762
572		Cacahuète M & Ms	96908
573		M & Ms	97075
574		Twix barre	97244
575		Cacao en poudre	97411
576		Crème glacée au chocolat	97541
577		Miel	97667
578		Gelées	97779
579		Cassonade	97920
580		Sucre	98166
581		Sucre en poudre	98404
582		Sirop d'érable	98583
583		Sirop d'érable	98711
584		Puces	98827
585		Semoule de maïs enrichi	98983
586		Riz brun	99106
587		Riz blanc cru	99227
588		Riz blanc	99350
589		Riz étuvé	99472
590		Riz instantané	99595
591		Farine de grains entiers	99711
592		Farine tout usage	99834
593		Farine pain blanc	99959
594		Farine de gâteau	100083
595		Nouilles	100206
596		Frites	100331
597		Viande congelée et les pizzas légumes	100526
598		Offres de poulet	100672
599		Pâté au poulet	100802
600		Boeuf haché (75/25)	100929
601		Barre d'alimentation chocolat	101052
602		Miel de grappes d'avoine aux amandes	101179
603		Fromage réduit en gras	101308
604		Éclats blancs	101537
605		Croquant de banane noix	101682
606		Vinaigrette César	101815
607		Bretzel	101980
608		Jus de canneberge	102130
609		Miel de grappes d'avoine	102290
610	P	Yaourt Vanille (La Laitière)	102421
611	P	Yaourt à la Vanille (Bio Village)	102463
612	P	Yaourt Vanille 0% (Printiligne)	102533
613	P	Yaourt à la Vanille (Bonne Maman)	102583
614	P	Yaourt Brassé Saveur Vanille (Monoprix Bio)	102660
615	P	Yaourt Onctueux à la Vanille de Madagascar (Michel et Augustin)	102720
616	P	Yaourt Saveur Vanille (Kingfrais)	102762
617	P	YAOURT BIFIDUS VANILLE (Auchan)	102826
618	P	Yaourt à la Vanille (Faible en Gras)	102889
619	P	Coquillettes (Lidl)	103077
620	P	Coquillettes (Cora)	103136
621	P	Coquillettes (Auchan)	103181
622	P	Coquillettes (Netto)	103247
623	P	Coquillettes Blé Complet (Cora)	103302
624	P	Coquillettes au Blé Complet (Barilla)	103345
625	P	Galettes de Riz Complet (Bjorg)	103412
626	P	Galette de Riz	103528
627	P	Galette de Riz (U)	103713
628	P	Galettes de Riz Complet (Bio Village)	103821
629	P	Galettes de Riz Nappées de Chocolat Noir (Monoprix Bio)	103912
630	P	Galette de Riz Complet (Gerblé)	104003
631	P	Galettes de Riz Complet (Casino Bio)	104118
632	P	Galette de Riz Complet (Leader Price)	104195
633	P	Pêches (Solides et Liquides, Pack d'Eau, en Conserve)	104289
634	P	Ananas (Solides et Liquides, Pack d'Eau, en Conserve)	104515
635	P	Châtaignes d'Eau Chinoise	104724
636	P	Céréale d'Avoine (sans Sel, Cuites à l'Eau, Non Enrichie)	104903
637	P	Céréale d'Avoine (Instantanée, Préparée avec de l'Eau, Fortifiée)	105081
638	P	Jus de Pomme (Concentré Congelé, Dilué avec de l'Eau)	105337
639	P	Eau de Coco	105525
640	P	Crème Chantilly	105753
